reach_id_v17b,group
24248000081,calibration
24249100041,calibration
24249200021,validation
24270400051,calibration
24270600061,calibration
24270800111,validation
24270800121,calibration
24280200051,calibration
24280300021,calibration
24280300091,validation
24292000061,validation
24292000131,calibration
24294000051,calibration
24294000071,validation
24296300071,calibration
24296400171,calibration
24322500244,validation
24322900144,calibration
24322900513,calibration
24322901121,calibration
24340000074,calibration
24352000084,calibration
24352000151,calibration
24354000021,calibration
24358000041,calibration
24359000031,validation
24359000211,calibration
24360000174,calibration
24360000471,validation
24360000601,calibration
24370000044,calibration
24370000071,validation
24370000301,calibration
24370000711,validation
24370000851,calibration
24380100013,validation
24380100144,validation
24380200041,calibration
24380200171,calibration
24380200261,calibration
24380200511,calibration
24380300054,calibration
24380300143,calibration
24380300194,calibration
24380300223,calibration
24380600011,calibration
24380600213,calibration
24380800031,calibration
24420100051,calibration
24420200024,calibration
24420300051,calibration
24420400081,calibration
24420400171,calibration
24420500011,calibration
24420500021,calibration
24420500091,calibration
24420600101,calibration
24420700163,calibration
24432000061,calibration
24432000181,calibration
24432000281,validation
24432000453,calibration
24433000071,validation
24433000253,calibration
24434000024,calibration
24435000091,calibration
24435000471,calibration
24435000611,validation
24436000021,calibration
24438000071,calibration
24438000263,validation
24440100034,calibration
24450200014,validation
24450200384,calibration
24450200801,validation
24450201393,calibration
24450400074,validation
24450800044,validation
24450800534,calibration
24460000024,calibration
24460000781,calibration
24460000834,calibration
24474000055,validation
24478000164,calibration
24480100124,calibration
24480400061,calibration
24480600074,validation
24480900334,calibration
25102200191,calibration
25102200301,validation
25102300201,validation
25107400011,calibration
25107500041,calibration
25107600036,calibration
25107800021,validation
25107900054,calibration
25108000031,calibration
25109200031,calibration
25109800041,calibration
25210200054,validation
25210400071,calibration
25210600061,calibration
25210600111,calibration
25210600461,calibration
25210600571,calibration
25210800021,calibration
25220000293,calibration
25220000531,calibration
25220000801,calibration
25240000541,calibration
27102000051,validation
27102000301,calibration
27103400111,calibration
27104000131,calibration
27104000241,calibration
27105400051,calibration
27105700125,validation
27107000045,calibration
27108000035,validation
27108000251,calibration
41301100071,calibration
41301100101,calibration
41301100271,calibration
41301100281,calibration
41301100291,calibration
41301100401,calibration
41301100474,calibration
41301100514,calibration
41301100521,calibration
41301100891,calibration
41301100901,calibration
41301100911,validation
41301100961,calibration
41301100971,calibration
41301101021,validation
41301101061,validation
41301101071,calibration
41301101411,calibration
41301101471,calibration
41301101585,calibration
41301101591,validation
41301101931,calibration
41301102024,calibration
41301102091,calibration
41301102435,validation
41301102455,calibration
41301102481,calibration
41301102721,validation
41301102741,calibration
41301103065,calibration
41301103085,calibration
41301103105,validation
41301103141,calibration
41301103164,calibration
41301103351,calibration
41301103371,calibration
41301103444,calibration
41301103491,calibration
41301103681,calibration
41301103913,calibration
41301103921,calibration
41301103951,validation
41301104071,calibration
41301104701,calibration
41301104731,calibration
41301104751,validation
41301105004,calibration
41301105061,calibration
41301105184,calibration
41301105315,calibration
41301105355,calibration
41301105561,calibration
