reach_id_v17b,station_id,basin_id,runoff_region,group,fold_id,fold_applicable,split_version,seed,n_valid_q,eligible_for_split,station_index,station_candidates_on_reach,source,river_name,lat,lon,facc,facc_bin,dist_out,network_position_bin,spatial_isolation_km,nearest_calibration_km,validation_strategy,validation_selection_order,n_calibration_gages,n_validation_gages,n_calibration_regions,gage_facc_coverage,gage_network_coverage,independent_validation_available,bias_eligible,bias_eligibility_stage,postfit_bias_checks_required,bias_ineligible_reason,identifiability_class,recommended_mode,svs_reach_variable
12520900224,X1H003,1252,125209,validation,1,True,basin_stratified_v2,42,911,True,3309,1,DWS,Komati River,-25.68225,31.78188,9504.8370190411,facc_q2,384256.79961482115,dist_q2,30.823805428684867,30.823805428684867,dense_coverage_spatial_holdout,2,6,2,4,0.17338359380930674,0.2769540833463372,True,True,pre_fit_structural_only,True,,dense_gage,bias_correlation_joint_candidate,reach_id_v17b
12540400191,W4H006,1254,125404,calibration,1,False,basin_stratified_v2,42,744,True,3273,1,DWS,Pongolo,-27.36325,31.78261,6257.960113126899,facc_q0,302708.3112756865,dist_q0,,,single_gage_no_independent_validation,,1,0,1,0.0,0.0,False,False,pre_fit_structural_only,True,calibration_gages_lt_3;calibration_regions_lt_2,single_gage,gage_constrained_bias_exploratory_or_hierarchical,reach_id_v17b
12551000214,W2H005,1255,125510,validation,1,True,basin_stratified_v2,42,845,True,3234,1,DWS,White Mfolozi River,-28.33936,31.37383,4005.94019613807,facc_q1,230286.4890782377,dist_q2,58.18360016735019,58.18360016735019,dense_coverage_spatial_holdout,2,18,5,9,0.6367540433146053,0.9594650842144997,True,True,pre_fit_structural_only,True,,dense_gage,bias_correlation_joint_candidate,reach_id_v17b
12551000494,W1H032,1255,125510,calibration,1,True,basin_stratified_v2,42,831,True,3232,1,DWS,Mhatuze River,-28.80127,31.95538,3235.768,facc_q0,9416.088577980954,dist_q0,21.278793184333413,,dense_coverage_spatial_holdout,,18,5,9,0.6367540433146053,0.9594650842144997,True,True,pre_fit_structural_only,True,,dense_gage,bias_correlation_joint_candidate,reach_id_v17b
12551000531,W1H009,1255,125510,calibration,1,True,basin_stratified_v2,42,851,True,3223,1,DWS,Mhatuze River,-28.74817,31.74563,2977.8041,facc_q0,53471.27713599558,dist_q0,21.278793184333413,,dense_coverage_spatial_holdout,,18,5,9,0.6367540433146053,0.9594650842144997,True,True,pre_fit_structural_only,True,,dense_gage,bias_correlation_joint_candidate,reach_id_v17b
12552000061,1160880,1255,125520,calibration,1,True,basin_stratified_v2,42,630,True,851,1,GRDC,Tugela River,-29.14125,31.39125,38717.665,facc_q3,38554.64035179948,dist_q0,55.67325684075981,,dense_coverage_spatial_holdout,,18,5,9,0.6367540433146053,0.9594650842144997,True,True,pre_fit_structural_only,True,,dense_gage,bias_correlation_joint_candidate,reach_id_v17b
12552000221,V6H002,1255,125520,calibration,1,True,basin_stratified_v2,42,890,True,3212,1,DWS,Tugela River,-28.75002,30.44222,12164.395,facc_q2,242115.47550502565,dist_q2,60.57491843244076,,dense_coverage_spatial_holdout,,18,5,9,0.6367540433146053,0.9594650842144997,True,True,pre_fit_structural_only,True,,dense_gage,bias_correlation_joint_candidate,reach_id_v17b
12552000361,V1H001,1255,125520,calibration,1,True,basin_stratified_v2,42,744,True,3169,1,DWS,Tugela River,-28.73591,29.82111,4295.5746,facc_q1,353364.3229331601,dist_q3,43.456553877183325,,dense_coverage_spatial_holdout,,18,5,9,0.6367540433146053,0.9594650842144997,True,True,pre_fit_structural_only,True,,dense_gage,bias_correlation_joint_candidate,reach_id_v17b
12552000441,V1H026,1255,125520,calibration,1,True,basin_stratified_v2,42,942,True,3173,1,DWS,Tugela River,-28.72194,29.37572,1969.916224888393,facc_q0,445737.5723019471,dist_q3,43.456553877183325,,dense_coverage_spatial_holdout,,18,5,9,0.6367540433146053,0.9594650842144997,True,True,pre_fit_structural_only,True,,dense_gage,bias_correlation_joint_candidate,reach_id_v17b
12552000731,V3H010,1255,125520,validation,1,True,basin_stratified_v2,42,868,True,3206,1,DWS,Buffalo River,-28.05932,30.37337,7126.186039483841,facc_q2,376149.0868279477,dist_q3,77.09709565549652,77.09709565549652,dense_coverage_spatial_holdout,4,18,5,9,0.6367540433146053,0.9594650842144997,True,True,pre_fit_structural_only,True,,dense_gage,bias_correlation_joint_candidate,reach_id_v17b
