v17_reach_id,v16_reach_id,reach_id
72555500181,72555500171,72555500171
72555500191,72555500181,72555500181
72555500201,72555500191,72555500191
72555500211,72555500201,72555500201
72555500226,72555500216,72555500216
72555700193,72555700013,72555700013
72555700013,72555700033,72555700033
72555700023,72555700043,72555700043
72555700033,72555700053,72555700053
72555700043,72555700063,72555700063
72555700053,72555700073,72555700073
72555700063,72555700083,72555700083
72555700073,72555700093,72555700093
72555700083,72555700103,72555700103
72555700093,72555700113,72555700113
72555700103,72555700123,72555700123
72555700113,72555700133,72555700133
72555700123,72555700143,72555700143
72555700173,72555700023,72555700023
72555700183,72555700163,72555700163
72555800013,72555800043,72555800043
72555800023,72555800053,72555800053
72555800033,72555800063,72555800063
72555800043,72555800073,72555800073
72555800051,72555800081,72555800081
72555800061,72555800091,72555800091
72555800071,72555800101,72555800101
72555800081,72555800111,72555800111
72555800091,72555800121,72555800121
72555800104,72555800134,72555800134
72555800111,72555800141,72555800141
72555800121,72555800151,72555800151
72555800131,72555800161,72555800161
72555800146,72555800176,72555800176
72555900043,72555900013,72555900013
72555900063,72555900023,72555900023
72556000573,72556000013,72556000013
72556000581,72556000021,72556000021
72556000594,72556000034,72556000034
72556000601,72556000041,72556000041
72556000614,72556000054,72556000054
72556000013,72556000063,72556000063
72556000023,72556000073,72556000073
72556000033,72556000083,72556000083
72556000041,72556000091,72556000091
72556000051,72556000101,72556000101
72556000061,72556000111,72556000111
72556000071,72556000121,72556000121
72556000081,72556000131,72556000131
72556000091,72556000151,72556000151
72556000101,72556000161,72556000161
72556000111,72556000171,72556000171
72556000124,72556000184,72556000184
72556000131,72556000191,72556000191
72556000371,72556000201,72556000201
72556000384,72556000214,72556000214
72556000393,72556000223,72556000223
72556000401,72556000231,72556000231
72556000411,72556000241,72556000241
72556000141,72556000251,72556000251
72556000151,72556000261,72556000261
72556000161,72556000271,72556000271
72556000171,72556000281,72556000281
72556000181,72556000291,72556000291
72556000191,72556000301,72556000301
72556000201,72556000311,72556000311
72556000211,72556000321,72556000321
72556000221,72556000331,72556000331
72556000421,72556000341,72556000341
72556000433,72556000353,72556000353
72556000441,72556000361,72556000361
72556000451,72556000371,72556000371
72556000461,72556000381,72556000381
72556000474,72556000394,72556000394
72556000481,72556000401,72556000401
72556000491,72556000411,72556000411
72556000504,72556000424,72556000424
72556000511,72556000431,72556000431
72556000311,72556000441,72556000441
72556000261,72556000451,72556000451
72556000271,72556000461,72556000461
72556000281,72556000471,72556000471
72556000301,72556000481,72556000481
72556000324,72556000494,72556000494
72556000331,72556000501,72556000501
72556000341,72556000511,72556000511
72556000353,72556000523,72556000523
72556000621,72556000531,72556000531
72556000531,72556000551,72556000551
72556000541,72556000561,72556000561
72556000551,72556000571,72556000571
72556000231,72556000601,72556000601
72556000244,72556000614,72556000614
72556000251,72556000621,72556000621
72556000526,72556000636,72556000636
72556000636,72556000646,72556000646
72556000566,72556000666,72556000666
72555900053,72555900153,72555900153
72557100013,72557100023,72557100023
72557300013,72557300083,72557300083
72557300073,72557300013,72557300013
72557300081,72557300021,72557300021
72557300023,72557300033,72557300033
72557300031,72557300041,72557300041
72557300061,72557300051,72557300051
72557300051,72557300061,72557300061
72557300041,72557300071,72557300071
72557700071,72557700071,72557700071
72557700083,72557700083,72557700083
72557700093,72557700113,72557700113
72557700103,72557700123,72557700123
72557700113,72557700133,72557700133
72557700123,72557700143,72557700143
72557700133,72557700153,72557700153
72557700143,72557700163,72557700163
72557700153,72557700173,72557700173
72557900013,72557900203,72557900203
72557900023,72557900213,72557900213
72557900133,72557900013,72557900013
72557900063,72557900033,72557900033
72557900083,72557900043,72557900043
72557900053,72557900053,72557900053
72557900043,72557900063,72557900063
72557900033,72557900073,72557900073
72558300033,72558300123,72558300123
72558300023,72558300133,72558300133
72558300013,72558300143,72558300143
72558100013,72558100153,72558100153
72557900123,72557900163,72557900163
72557900113,72557900173,72557900173
72557900103,72557900183,72557900183
72557900093,72557900193,72557900193
72559000033,72559000043,72559000043
72559000043,72559000053,72559000053
72558100023,72558100033,72558100033
72558100033,72558100043,72558100043
72559000053,72559000063,72559000063
72558200013,72558200063,72558200063
72558200021,72558200071,72558200071
72558200034,72558200084,72558200084
72558200043,72558200093,72558200093
72558200056,72558200101,72558200101
72558200063,72558200113,72558200113
72558200074,72558200124,72558200124
72558200083,72558200133,72558200133
72558200093,72558200211,72558200211
72558200103,72558200223,72558200223
72558200113,72558200233,72558200233
72558200124,72558200244,72558200244
72558200133,72558200253,72558200253
72558200144,72558200264,72558200264
72558200153,72558200273,72558200273
72558200161,72558200281,72558200281
72558200174,72558200294,72558200294
72558200183,72558200303,72558200303
72558200191,72558200311,72558200311
72558200201,72558200321,72558200321
72558200211,72558200331,72558200331
72558200224,72558200344,72558200344
72558200233,72558200353,72558200353
72558200241,72558200361,72558200361
72558200251,72558200371,72558200371
72558200261,72558200381,72558200381
72558200271,72558200391,72558200391
72558200286,72558200416,72558200416
72558300043,72558300013,72558300013
72558300053,72558300023,72558300023
72558300063,72558300033,72558300033
72558300073,72558300043,72558300043
72558300083,72558300053,72558300053
72558300091,72558300061,72558300061
72558300101,72558300071,72558300071
72558300121,72558300081,72558300081
72558300111,72558300111,72558300111
72558700011,72558700121,72558700121
72558300141,72558300131,72558300131
72558300136,72558300146,72558300146
72558600031,72558600021,72558600021
72558600021,72558600031,72558600031
72558600011,72558600051,72558600051
72558600041,72558600081,72558600081
72558600056,72558600096,72558600096
72558700021,72558700011,72558700011
72558700031,72558700021,72558700021
72558700041,72558700031,72558700031
72558700054,72558700044,72558700044
72558700061,72558700051,72558700051
72558800011,72558800011,72558800011
72558800024,72558800024,72558800024
72558800033,72558800033,72558800033
72558800041,72558800041,72558800041
72558800053,72558800053,72558800053
72558800061,72558800061,72558800061
72558800074,72558800074,72558800074
72558800083,72558800083,72558800083
72558800091,72558800091,72558800091
72558800104,72558800104,72558800104
72558800113,72558800113,72558800113
72558800121,72558800121,72558800121
72558800131,72558800131,72558800131
72558800144,72558800144,72558800144
72558800153,72558800153,72558800153
72558800161,72558800161,72558800161
72558800173,72558800173,72558800173
72558800181,72558800181,72558800181
72558800193,72558800193,72558800193
72558800201,72558800201,72558800201
72558800216,72558800216,72558800216
72558900011,72558900011,72558900011
72558900051,72558900021,72558900021
72558900021,72558900031,72558900031
72558900031,72558900041,72558900041
72558900066,72558900056,72558900056
72558900046,72558900066,72558900066
72557900073,72557900223,72557900223
72559000013,72559000023,72559000023
72559000023,72559000033,72559000033
72560100013,72560100013,72560100013
72560100023,72560100023,72560100023
72570100013,72570100033,72570100033
72570100023,72570100043,72570100043
72570200013,72570200053,72570200053
72570500013,72570500063,72570500063
72570200023,72570200073,72570200073
